country,crop,year,rainfall_mm,pesticides_tonnes,avg_temp,yield_tonnes_per_ha,country_enc,crop_enc,rainfall_temp_ratio,log_pesticides,heat_stress_index
Albania,Maize,1990,1485.0,121.0,16.37,3.6613,0,1,85.4922,4.804,8.2668
Albania,Potatoes,1990,1485.0,121.0,16.37,6.6667,0,3,85.4922,4.804,8.2668
Albania,"Rice, paddy",1990,1485.0,121.0,16.37,2.3333,0,4,85.4922,4.804,8.2668
Albania,Sorghum,1990,1485.0,121.0,16.37,1.25,0,5,85.4922,4.804,8.2668
Albania,Soybeans,1990,1485.0,121.0,16.37,0.7,0,6,85.4922,4.804,8.2668
Albania,Wheat,1990,1485.0,121.0,16.37,3.0197,0,8,85.4922,4.804,8.2668
Albania,Maize,1991,1485.0,121.0,15.36,2.9068,0,1,90.7702,4.804,7.7568
Albania,Potatoes,1991,1485.0,121.0,15.36,7.7818,0,3,90.7702,4.804,7.7568
Albania,"Rice, paddy",1991,1485.0,121.0,15.36,2.8538,0,4,90.7702,4.804,7.7568
Albania,Sorghum,1991,1485.0,121.0,15.36,0.6667,0,5,90.7702,4.804,7.7568
Albania,Soybeans,1991,1485.0,121.0,15.36,0.6066,0,6,90.7702,4.804,7.7568
Albania,Wheat,1991,1485.0,121.0,15.36,2.0698,0,8,90.7702,4.804,7.7568
Albania,Maize,1992,1485.0,121.0,16.06,2.4876,0,1,87.0457,4.804,8.1103
Albania,Potatoes,1992,1485.0,121.0,16.06,8.292,0,3,87.0457,4.804,8.1103
Albania,"Rice, paddy",1992,1485.0,121.0,16.06,4.0,0,4,87.0457,4.804,8.1103
Albania,Sorghum,1992,1485.0,121.0,16.06,0.3747,0,5,87.0457,4.804,8.1103
Albania,Soybeans,1992,1485.0,121.0,16.06,0.4507,0,6,87.0457,4.804,8.1103
Albania,Wheat,1992,1485.0,121.0,16.06,2.4388,0,8,87.0457,4.804,8.1103
Albania,Maize,1993,1485.0,121.0,16.05,2.4185,0,1,87.0968,4.804,8.1052
Albania,Potatoes,1993,1485.0,121.0,16.05,9.8446,0,3,87.0968,4.804,8.1052
Albania,"Rice, paddy",1993,1485.0,121.0,16.05,4.1786,0,4,87.0968,4.804,8.1052
Albania,Soybeans,1993,1485.0,121.0,16.05,0.7998,0,6,87.0968,4.804,8.1052
Albania,Wheat,1993,1485.0,121.0,16.05,2.9976,0,8,87.0968,4.804,8.1052
Albania,Maize,1994,1485.0,201.0,16.96,2.5848,0,1,82.6837,5.3083,8.5648
Albania,Potatoes,1994,1485.0,201.0,16.96,8.1404,0,3,82.6837,5.3083,8.5648
Albania,Soybeans,1994,1485.0,201.0,16.96,0.7927,0,6,82.6837,5.3083,8.5648
Albania,Wheat,1994,1485.0,201.0,16.96,2.4745,0,8,82.6837,5.3083,8.5648
Albania,Maize,1995,1485.0,251.0,15.67,3.13,0,1,89.0822,5.5294,7.9134
Albania,Potatoes,1995,1485.0,251.0,15.67,11.1323,0,3,89.0822,5.5294,7.9134
Albania,Soybeans,1995,1485.0,251.0,15.67,1.1791,0,6,89.0822,5.5294,7.9134
Albania,Wheat,1995,1485.0,251.0,15.67,2.8703,0,8,89.0822,5.5294,7.9134
Albania,Maize,1996,1485.0,313.96,15.64,3.2604,0,1,89.2428,5.7524,7.8982
Albania,Potatoes,1996,1485.0,313.96,15.64,10.6138,0,3,89.2428,5.7524,7.8982
Albania,Soybeans,1996,1485.0,313.96,15.64,1.548,0,6,89.2428,5.7524,7.8982
Albania,Wheat,1996,1485.0,313.96,15.64,2.1741,0,8,89.2428,5.7524,7.8982
Albania,Maize,1997,1485.0,376.93,15.9,3.1862,0,1,87.8698,5.9347,8.0295
Albania,Potatoes,1997,1485.0,376.93,15.9,10.9874,0,3,87.8698,5.9347,8.0295
Albania,Soybeans,1997,1485.0,376.93,15.9,1.2768,0,6,87.8698,5.9347,8.0295
Albania,Wheat,1997,1485.0,376.93,15.9,2.8516,0,8,87.8698,5.9347,8.0295
Albania,Maize,1998,1485.0,439.89,16.27,3.3416,0,1,85.9873,6.0888,8.2164
Albania,Potatoes,1998,1485.0,439.89,16.27,12.7212,0,3,85.9873,6.0888,8.2164
Albania,Soybeans,1998,1485.0,439.89,16.27,1.4327,0,6,85.9873,6.0888,8.2164
Albania,Wheat,1998,1485.0,439.89,16.27,2.8037,0,8,85.9873,6.0888,8.2164
Albania,Maize,1999,1485.0,502.86,16.57,3.7455,0,1,84.5191,6.2223,8.3678
Albania,Potatoes,1999,1485.0,502.86,16.57,14.2018,0,3,84.5191,6.2223,8.3678
Albania,Soybeans,1999,1485.0,502.86,16.57,1.7143,0,6,84.5191,6.2223,8.3678
Albania,Wheat,1999,1485.0,502.86,16.57,2.4954,0,8,84.5191,6.2223,8.3678
Albania,Maize,2000,1485.0,565.82,16.67,3.8811,0,1,84.0407,6.34,8.4184
Albania,Potatoes,2000,1485.0,565.82,16.67,14.1228,0,3,84.0407,6.34,8.4184
Albania,Soybeans,2000,1485.0,565.82,16.67,1.5,0,6,84.0407,6.34,8.4184
Albania,Wheat,2000,1485.0,565.82,16.67,3.0455,0,8,84.0407,6.34,8.4184
Albania,Maize,2001,1485.0,628.79,16.59,3.8135,0,1,84.423,6.4454,8.378
Albania,Potatoes,2001,1485.0,628.79,16.59,14.8818,0,3,84.423,6.4454,8.378
Albania,Soybeans,2001,1485.0,628.79,16.59,2.0,0,6,84.423,6.4454,8.378
Albania,Wheat,2001,1485.0,628.79,16.59,2.822,0,8,84.423,6.4454,8.378
Albania,Maize,2002,1485.0,691.75,16.47,3.946,0,1,85.0029,6.5407,8.3174
Albania,Potatoes,2002,1485.0,691.75,16.47,15.3868,0,3,85.0029,6.5407,8.3174
Albania,Soybeans,2002,1485.0,691.75,16.47,2.0,0,6,85.0029,6.5407,8.3174
Albania,Wheat,2002,1485.0,691.75,16.47,3.1617,0,8,85.0029,6.5407,8.3174
Albania,Maize,2004,1485.0,817.68,16.16,4.6197,0,1,86.5385,6.7077,8.1608
Albania,Potatoes,2004,1485.0,817.68,16.16,14.9346,0,3,86.5385,6.7077,8.1608
Albania,Soybeans,2004,1485.0,817.68,16.16,1.3333,0,6,86.5385,6.7077,8.1608
Albania,Wheat,2004,1485.0,817.68,16.16,3.113,0,8,86.5385,6.7077,8.1608
Albania,Maize,2005,1485.0,880.64,15.67,4.5442,0,1,89.0822,6.7818,7.9134
Albania,Potatoes,2005,1485.0,880.64,15.67,16.7061,0,3,89.0822,6.7818,7.9134
Albania,Soybeans,2005,1485.0,880.64,15.67,1.75,0,6,89.0822,6.7818,7.9134
Albania,Wheat,2005,1485.0,880.64,15.67,3.1582,0,8,89.0822,6.7818,7.9134
Albania,Maize,2006,1485.0,943.61,15.92,5.0111,0,1,87.766,6.8508,8.0396
Albania,Potatoes,2006,1485.0,943.61,15.92,17.0745,0,3,87.766,6.8508,8.0396
Albania,Soybeans,2006,1485.0,943.61,15.92,2.0,0,6,87.766,6.8508,8.0396
Albania,Wheat,2006,1485.0,943.61,15.92,3.0787,0,8,87.766,6.8508,8.0396
Albania,Maize,2007,1485.0,1006.57,16.67,4.6732,0,1,84.0407,6.9153,8.4184
Albania,Potatoes,2007,1485.0,1006.57,16.67,18.8902,0,3,84.0407,6.9153,8.4184
