country,crop,year,rainfall_mm,pesticides_tonnes,avg_temp,yield_tonnes_per_ha
Albania,Maize,1990,1485.0,121.0,16.37,3.6613
Albania,Potatoes,1990,1485.0,121.0,16.37,6.6667
Albania,"Rice, paddy",1990,1485.0,121.0,16.37,2.3333
Albania,Sorghum,1990,1485.0,121.0,16.37,1.25
Albania,Soybeans,1990,1485.0,121.0,16.37,0.7
Albania,Wheat,1990,1485.0,121.0,16.37,3.0197
Albania,Maize,1991,1485.0,121.0,15.36,2.9068
Albania,Potatoes,1991,1485.0,121.0,15.36,7.7818
Albania,"Rice, paddy",1991,1485.0,121.0,15.36,2.8538
Albania,Sorghum,1991,1485.0,121.0,15.36,0.6667
Albania,Soybeans,1991,1485.0,121.0,15.36,0.6066
Albania,Wheat,1991,1485.0,121.0,15.36,2.0698
Albania,Maize,1992,1485.0,121.0,16.06,2.4876
Albania,Potatoes,1992,1485.0,121.0,16.06,8.292
Albania,"Rice, paddy",1992,1485.0,121.0,16.06,4.0
Albania,Sorghum,1992,1485.0,121.0,16.06,0.3747
Albania,Soybeans,1992,1485.0,121.0,16.06,0.4507
Albania,Wheat,1992,1485.0,121.0,16.06,2.4388
Albania,Maize,1993,1485.0,121.0,16.05,2.4185
Albania,Potatoes,1993,1485.0,121.0,16.05,9.8446
Albania,"Rice, paddy",1993,1485.0,121.0,16.05,4.1786
Albania,Soybeans,1993,1485.0,121.0,16.05,0.7998
Albania,Wheat,1993,1485.0,121.0,16.05,2.9976
Albania,Maize,1994,1485.0,201.0,16.96,2.5848
Albania,Potatoes,1994,1485.0,201.0,16.96,8.1404
Albania,Soybeans,1994,1485.0,201.0,16.96,0.7927
Albania,Wheat,1994,1485.0,201.0,16.96,2.4745
Albania,Maize,1995,1485.0,251.0,15.67,3.13
Albania,Potatoes,1995,1485.0,251.0,15.67,11.1323
Albania,Soybeans,1995,1485.0,251.0,15.67,1.1791
Albania,Wheat,1995,1485.0,251.0,15.67,2.8703
Albania,Maize,1996,1485.0,313.96,15.64,3.2604
Albania,Potatoes,1996,1485.0,313.96,15.64,10.6138
Albania,Soybeans,1996,1485.0,313.96,15.64,1.548
Albania,Wheat,1996,1485.0,313.96,15.64,2.1741
Albania,Maize,1997,1485.0,376.93,15.9,3.1862
Albania,Potatoes,1997,1485.0,376.93,15.9,10.9874
Albania,Soybeans,1997,1485.0,376.93,15.9,1.2768
Albania,Wheat,1997,1485.0,376.93,15.9,2.8516
Albania,Maize,1998,1485.0,439.89,16.27,3.3416
Albania,Potatoes,1998,1485.0,439.89,16.27,12.7212
Albania,Soybeans,1998,1485.0,439.89,16.27,1.4327
Albania,Wheat,1998,1485.0,439.89,16.27,2.8037
Albania,Maize,1999,1485.0,502.86,16.57,3.7455
Albania,Potatoes,1999,1485.0,502.86,16.57,14.2018
Albania,Soybeans,1999,1485.0,502.86,16.57,1.7143
Albania,Wheat,1999,1485.0,502.86,16.57,2.4954
Albania,Maize,2000,1485.0,565.82,16.67,3.8811
Albania,Potatoes,2000,1485.0,565.82,16.67,14.1228
Albania,Soybeans,2000,1485.0,565.82,16.67,1.5
Albania,Wheat,2000,1485.0,565.82,16.67,3.0455
Albania,Maize,2001,1485.0,628.79,16.59,3.8135
Albania,Potatoes,2001,1485.0,628.79,16.59,14.8818
Albania,Soybeans,2001,1485.0,628.79,16.59,2.0
Albania,Wheat,2001,1485.0,628.79,16.59,2.822
Albania,Maize,2002,1485.0,691.75,16.47,3.946
Albania,Potatoes,2002,1485.0,691.75,16.47,15.3868
Albania,Soybeans,2002,1485.0,691.75,16.47,2.0
Albania,Wheat,2002,1485.0,691.75,16.47,3.1617
Albania,Maize,2004,1485.0,817.68,16.16,4.6197
Albania,Potatoes,2004,1485.0,817.68,16.16,14.9346
Albania,Soybeans,2004,1485.0,817.68,16.16,1.3333
Albania,Wheat,2004,1485.0,817.68,16.16,3.113
Albania,Maize,2005,1485.0,880.64,15.67,4.5442
Albania,Potatoes,2005,1485.0,880.64,15.67,16.7061
Albania,Soybeans,2005,1485.0,880.64,15.67,1.75
Albania,Wheat,2005,1485.0,880.64,15.67,3.1582
Albania,Maize,2006,1485.0,943.61,15.92,5.0111
Albania,Potatoes,2006,1485.0,943.61,15.92,17.0745
Albania,Soybeans,2006,1485.0,943.61,15.92,2.0
Albania,Wheat,2006,1485.0,943.61,15.92,3.0787
Albania,Maize,2007,1485.0,1006.57,16.67,4.6732
Albania,Potatoes,2007,1485.0,1006.57,16.67,18.8902
Albania,Soybeans,2007,1485.0,1006.57,16.67,2.0
Albania,Wheat,2007,1485.0,1006.57,16.67,3.5496
Albania,Maize,2008,1485.0,1069.54,16.71,5.0
Albania,Potatoes,2008,1485.0,1069.54,16.71,19.3878
Albania,Soybeans,2008,1485.0,1069.54,16.71,2.0
Albania,Wheat,2008,1485.0,1069.54,16.71,4.0168
Albania,Maize,2009,1485.0,1132.5,16.73,5.5693
Albania,Potatoes,2009,1485.0,1132.5,16.73,21.978
Albania,Soybeans,2009,1485.0,1132.5,16.73,1.6667
Albania,Wheat,2009,1485.0,1132.5,16.73,4.0229
Albania,Maize,2010,1485.0,1311.17,16.52,6.679
Albania,Potatoes,2010,1485.0,1311.17,16.52,23.1111
Albania,Soybeans,2010,1485.0,1311.17,16.52,1.6667
Albania,Wheat,2010,1485.0,1311.17,16.52,3.9905
Albania,Maize,2011,1485.0,1302.63,16.45,5.9869
Albania,Potatoes,2011,1485.0,1302.63,16.45,24.2211
Albania,Soybeans,2011,1485.0,1302.63,16.45,1.8519
Albania,Wheat,2011,1485.0,1302.63,16.45,4.2301
Albania,Maize,2012,1485.0,766.25,16.7,6.729
