crop,n,MAE,RMSE,R2
Potatoes,594,2.216131846560104,3.0096485424153485,0.903534477586119
Wheat,531,0.4309316365404883,0.5710070823950024,0.9026882065957218
Yams,116,1.1806102937461282,1.6807373329304107,0.9017322079487786
Maize,573,0.5967463873485486,0.8490400673764043,0.8950275686996905
"Rice, paddy",464,0.4954356446064119,0.6595120945274436,0.8830943517361267
Cassava,283,2.294671919356226,3.1453107029259275,0.8695054147952705
Sorghum,415,0.37125928438481987,0.5980923068778518,0.8501710583069405
Soybeans,441,0.23630210223814754,0.3303601011539079,0.814163830846433
Sweet potatoes,389,2.0574406540320678,3.14441267373371,0.8021415228613421
Plantains and others,84,1.8279050399557881,2.8988985541426113,0.7784911922702588
